State,Industry,Year,Value
Alabama,Construction,2008,18.124166666666664
Alabama,Construction,2009,18.049166666666665
Alabama,Construction,2010,18.330000000000002
Alabama,Construction,2011,19.1975
Alabama,Construction,2012,20.13583333333333
Alabama,Construction,2013,21.09583333333333
Alabama,Construction,2014,22.629166666666666
Alabama,Construction,2015,22.604166666666668
Alabama,Construction,2016,22.275833333333335
Alabama,Construction,2017,22.680833333333336
Alabama,Construction,2018,23.29
Alabama,Financial Activities,2008,20.275
Alabama,Financial Activities,2009,20.57833333333333
Alabama,Financial Activities,2010,20.77
Alabama,Financial Activities,2011,20.965
Alabama,Financial Activities,2012,21.124166666666667
Alabama,Financial Activities,2013,21.376666666666665
Alabama,Financial Activities,2014,21.793333333333333
Alabama,Financial Activities,2015,22.8
Alabama,Financial Activities,2016,25.111666666666668
Alabama,Financial Activities,2017,25.66666666666666
Alabama,Financial Activities,2018,26.817142857142862
Alabama,Leisure and Hospitality,2008,10.031666666666668
Alabama,Leisure and Hospitality,2009,10.160833333333334
Alabama,Leisure and Hospitality,2010,10.395833333333334
Alabama,Leisure and Hospitality,2011,10.651666666666667
Alabama,Leisure and Hospitality,2012,10.954999999999998
Alabama,Leisure and Hospitality,2013,10.966666666666669
Alabama,Leisure and Hospitality,2014,10.914166666666665
Alabama,Leisure and Hospitality,2015,11.020833333333334
Alabama,Leisure and Hospitality,2016,11.446666666666667
Alabama,Leisure and Hospitality,2017,11.948333333333332
Alabama,Leisure and Hospitality,2018,12.185714285714285
Alabama,Manufacturing,2008,20.488333333333333
Alabama,Manufacturing,2009,20.386666666666667
Alabama,Manufacturing,2010,20.548333333333336
Alabama,Manufacturing,2011,20.82916666666667
Alabama,Manufacturing,2012,21.125833333333333
Alabama,Manufacturing,2013,21.434166666666666
Alabama,Manufacturing,2014,22.293333333333337
Alabama,Manufacturing,2015,22.752499999999998
Alabama,Manufacturing,2016,23.61833333333333
Alabama,Manufacturing,2017,24.174999999999997
Alabama,Manufacturing,2018,24.554285714285715
Alabama,Other Services,2008,16.438333333333333
Alabama,Other Services,2009,15.845
Alabama,Other Services,2010,16.120833333333334
Alabama,Other Services,2011,17.256666666666668
Alabama,Other Services,2012,19.22083333333333
Alabama,Other Services,2013,20.104166666666668
Alabama,Other Services,2014,21.245
Alabama,Other Services,2015,20.150833333333335
Alabama,Other Services,2016,19.2375
Alabama,Other Services,2017,20.480833333333333
Alabama,Other Services,2018,22.178571428571427
Alabama,Professional and Business Services,2008,23.686666666666667
Alabama,Professional and Business Services,2009,24.557499999999994
Alabama,Professional and Business Services,2010,24.402500000000003
Alabama,Professional and Business Services,2011,23.77333333333333
Alabama,Professional and Business Services,2012,22.986666666666668
Alabama,Professional and Business Services,2013,23.125833333333333
Alabama,Professional and Business Services,2014,24.10166666666667
Alabama,Professional and Business Services,2015,24.715
Alabama,Professional and Business Services,2016,25.522499999999997
Alabama,Professional and Business Services,2017,26.50666666666667
Alabama,Professional and Business Services,2018,27.747142857142858
Alabama,Trade Transportation and Utilities,2008,16.75583333333333
Alabama,Trade Transportation and Utilities,2009,17.003333333333334
Alabama,Trade Transportation and Utilities,2010,17.235
Alabama,Trade Transportation and Utilities,2011,18.213333333333335
Alabama,Trade Transportation and Utilities,2012,18.340833333333332
Alabama,Trade Transportation and Utilities,2013,18.015000000000004
Alabama,Trade Transportation and Utilities,2014,18.73166666666667
Alabama,Trade Transportation and Utilities,2015,19.060833333333335
Alabama,Trade Transportation and Utilities,2016,19.605833333333333
Alabama,Trade Transportation and Utilities,2017,19.823333333333334
Alabama,Trade Transportation and Utilities,2018,19.812857142857144
Alaska,Construction,2008,32.67416666666666
Alaska,Construction,2009,34.020833333333336
Alaska,Construction,2010,35.8625
Alaska,Construction,2011,36.05916666666667
Alaska,Construction,2012,36.71833333333333
Alaska,Construction,2013,37.0575
Alaska,Construction,2014,37.47666666666667
Alaska,Construction,2015,37.82583333333333
Alaska,Construction,2016,38.715833333333336
Alaska,Construction,2017,37.895
Alaska,Construction,2018,37.65714285714285
Alaska,Leisure and Hospitality,2008,13.472499999999998
Alaska,Leisure and Hospitality,2009,13.218333333333332
Alaska,Leisure and Hospitality,2010,13.564166666666667
Alaska,Leisure and Hospitality,2011,14.001666666666665
Alaska,Leisure and Hospitality,2012,14.504999999999997
Alaska,Leisure and Hospitality,2013,15.401666666666666
Alaska,Leisure and Hospitality,2014,16.661666666666665
Alaska,Leisure and Hospitality,2015,17.160833333333333
Alaska,Leisure and Hospitality,2016,17.55
Alaska,Leisure and Hospitality,2017,17.358333333333334
Alaska,Leisure and Hospitality,2018,17.481428571428573
Alaska,Manufacturing,2008,19.9
Alaska,Manufacturing,2009,18.320833333333333
Alaska,Manufacturing,2010,20.62083333333333
Alaska,Manufacturing,2011,20.049166666666668
Alaska,Manufacturing,2012,19.881666666666664
Alaska,Manufacturing,2013,19.7025
Alaska,Manufacturing,2014,20.093333333333337
Alaska,Manufacturing,2015,20.3675
Alaska,Manufacturing,2016,22.325
Alaska,Manufacturing,2017,23.228333333333335
Alaska,Manufacturing,2018,23.28571428571429
Alaska,Professional and Business Services,2008,30.922500000000003
Alaska,Professional and Business Services,2009,31.352499999999996
Alaska,Professional and Business Services,2010,31.61916666666667
Alaska,Professional and Business Services,2011,33.387499999999996
Alaska,Professional and Business Services,2012,32.928333333333335
Alaska,Professional and Business Services,2013,34.86666666666667
Alaska,Professional and Business Services,2014,34.57083333333335
Alaska,Professional and Business Services,2015,34.0025
Alaska,Professional and Business Services,2016,34.47
Alaska,Professional and Business Services,2017,34.5475
Alaska,Professional and Business Services,2018,34.471428571428575
Alaska,Trade Transportation and Utilities,2008,19.471666666666664
Alaska,Trade Transportation and Utilities,2009,20.53
Alaska,Trade Transportation and Utilities,2010,20.714166666666667
Alaska,Trade Transportation and Utilities,2011,20.437499999999996
Alaska,Trade Transportation and Utilities,2012,20.569166666666668
Alaska,Trade Transportation and Utilities,2013,21.31833333333333
Alaska,Trade Transportation and Utilities,2014,22.326666666666664
Alaska,Trade Transportation and Utilities,2015,22.909166666666664
Alaska,Trade Transportation and Utilities,2016,23.29666666666667
Alaska,Trade Transportation and Utilities,2017,23.86
Alaska,Trade Transportation and Utilities,2018,24.265714285714285
Arizona,Construction,2008,21.78583333333333
Arizona,Construction,2009,22.605
Arizona,Construction,2010,22.444999999999997
Arizona,Construction,2011,22.109166666666667
Arizona,Construction,2012,22.56833333333333
Arizona,Construction,2013,22.992499999999996
Arizona,Construction,2014,24.08916666666667
Arizona,Construction,2015,23.174166666666668
Arizona,Construction,2016,24.955833333333334
Arizona,Construction,2017,25.741666666666664
Arizona,Construction,2018,26.064285714285717
Arizona,Financial Activities,2008,22.444999999999997
Arizona,Financial Activities,2009,23.655833333333334
Arizona,Financial Activities,2010,23.548333333333336
Arizona,Financial Activities,2011,23.474166666666665
Arizona,Financial Activities,2012,24.286666666666665
Arizona,Financial Activities,2013,26.149166666666662
Arizona,Financial Activities,2014,26.343333333333334
Arizona,Financial Activities,2015,26.724166666666665
Arizona,Financial Activities,2016,27.781666666666666
Arizona,Financial Activities,2017,29.02666666666667
Arizona,Financial Activities,2018,29.580000000000002
Arizona,Leisure and Hospitality,2008,12.689166666666665
Arizona,Leisure and Hospitality,2009,13.116666666666667
Arizona,Leisure and Hospitality,2010,13.213333333333333
Arizona,Leisure and Hospitality,2011,13.584166666666668
Arizona,Leisure and Hospitality,2012,13.560833333333337
Arizona,Leisure and Hospitality,2013,13.48666666666667
Arizona,Leisure and Hospitality,2014,13.62166666666667
Arizona,Leisure and Hospitality,2015,14.058333333333335
Arizona,Leisure and Hospitality,2016,14.205833333333336
Arizona,Leisure and Hospitality,2017,15.033333333333333
Arizona,Leisure and Hospitality,2018,15.782857142857143
Arizona,Manufacturing,2008,22.561666666666667
Arizona,Manufacturing,2009,23.636666666666667
Arizona,Manufacturing,2010,22.75583333333333
Arizona,Manufacturing,2011,24.195833333333336
Arizona,Manufacturing,2012,24.924166666666665
Arizona,Manufacturing,2013,24.694999999999993
Arizona,Manufacturing,2014,24.644166666666663
Arizona,Manufacturing,2015,24.529166666666665
Arizona,Manufacturing,2016,24.081666666666667
Arizona,Manufacturing,2017,24.1275
Arizona,Manufacturing,2018,24.990000000000002
Arizona,Other Services,2008,16.290000000000003
Arizona,Other Services,2009,16.250833333333333
Arizona,Other Services,2010,15.879166666666665
Arizona,Other Services,2011,16.822499999999998
Arizona,Other Services,2012,18.500833333333333
Arizona,Other Services,2013,19.929166666666664
Arizona,Other Services,2014,19.807500000000005
Arizona,Other Services,2015,20.46916666666667
Arizona,Other Services,2016,22.177499999999995
Arizona,Other Services,2017,23.684166666666666
Arizona,Other Services,2018,22.634285714285713
Arizona,Trade Transportation and Utilities,2008,19.301666666666666
Arizona,Trade Transportation and Utilities,2009,20.621666666666666
Arizona,Trade Transportation and Utilities,2010,20.256666666666664
Arizona,Trade Transportation and Utilities,2011,20.2775
Arizona,Trade Transportation and Utilities,2012,20.9875
Arizona,Trade Transportation and Utilities,2013,20.96166666666667
Arizona,Trade Transportation and Utilities,2014,20.606666666666666
Arizona,Trade Transportation and Utilities,2015,20.81833333333333
Arizona,Trade Transportation and Utilities,2016,22.710000000000004
Arizona,Trade Transportation and Utilities,2017,24.313333333333333
Arizona,Trade Transportation and Utilities,2018,24.945714285714285
Arkansas,Construction,2008,18.17583333333333
Arkansas,Construction,2009,18.62
Arkansas,Construction,2010,18.757499999999997
Arkansas,Construction,2011,18.2675
Arkansas,Construction,2012,17.982499999999998
Arkansas,Construction,2013,18.6325
Arkansas,Construction,2014,20.368333333333336
Arkansas,Construction,2015,21.0225
Arkansas,Construction,2016,21.2625
Arkansas,Construction,2017,21.924166666666668
Arkansas,Construction,2018,22.189999999999998
Arkansas,Financial Activities,2008,21.019166666666667
Arkansas,Financial Activities,2009,23.320833333333336
Arkansas,Financial Activities,2010,23.566666666666666
Arkansas,Financial Activities,2011,22.41333333333333
Arkansas,Financial Activities,2012,24.929166666666664
Arkansas,Financial Activities,2013,23.161666666666665
Arkansas,Financial Activities,2014,22.979166666666668
Arkansas,Financial Activities,2015,23.210000000000004
Arkansas,Financial Activities,2016,25.138333333333332
Arkansas,Financial Activities,2017,26.49416666666666
Arkansas,Financial Activities,2018,26.922857142857143
Arkansas,Leisure and Hospitality,2008,9.506666666666666
Arkansas,Leisure and Hospitality,2009,10.042499999999999
Arkansas,Leisure and Hospitality,2010,10.244166666666665
Arkansas,Leisure and Hospitality,2011,10.451666666666666
Arkansas,Leisure and Hospitality,2012,10.040000000000001
Arkansas,Leisure and Hospitality,2013,10.395000000000001
Arkansas,Leisure and Hospitality,2014,10.681666666666667
Arkansas,Leisure and Hospitality,2015,11.221666666666666
Arkansas,Leisure and Hospitality,2016,11.6725
Arkansas,Leisure and Hospitality,2017,12.149166666666666
Arkansas,Leisure and Hospitality,2018,12.132857142857144
Arkansas,Manufacturing,2008,16.878333333333334
Arkansas,Manufacturing,2009,16.117500000000003
Arkansas,Manufacturing,2010,16.618333333333332
Arkansas,Manufacturing,2011,17.595833333333335
Arkansas,Manufacturing,2012,18.514999999999997
Arkansas,Manufacturing,2013,18.993333333333332
Arkansas,Manufacturing,2014,19.1075
Arkansas,Manufacturing,2015,19.548333333333332
Arkansas,Manufacturing,2016,19.39333333333333
Arkansas,Manufacturing,2017,20.2075
Arkansas,Manufacturing,2018,21.04
Arkansas,Professional and Business Services,2008,20.276666666666664
Arkansas,Professional and Business Services,2009,20.408333333333335
Arkansas,Professional and Business Services,2010,20.139166666666668
Arkansas,Professional and Business Services,2011,20.875
Arkansas,Professional and Business Services,2012,22.473333333333333
Arkansas,Professional and Business Services,2013,23.151666666666667
Arkansas,Professional and Business Services,2014,22.215000000000003
Arkansas,Professional and Business Services,2015,21.105
Arkansas,Professional and Business Services,2016,21.358333333333334
Arkansas,Professional and Business Services,2017,21.295833333333334
Arkansas,Professional and Business Services,2018,21.55428571428572
Arkansas,Trade Transportation and Utilities,2008,16.445000000000004
Arkansas,Trade Transportation and Utilities,2009,17.2425
Arkansas,Trade Transportation and Utilities,2010,18.394166666666667
Arkansas,Trade Transportation and Utilities,2011,18.803333333333335
Arkansas,Trade Transportation and Utilities,2012,18.669166666666666
Arkansas,Trade Transportation and Utilities,2013,19.273333333333337
Arkansas,Trade Transportation and Utilities,2014,19.564166666666665
Arkansas,Trade Transportation and Utilities,2015,19.37333333333333
Arkansas,Trade Transportation and Utilities,2016,19.569166666666664
Arkansas,Trade Transportation and Utilities,2017,19.760833333333338
Arkansas,Trade Transportation and Utilities,2018,20.674285714285713
California,Construction,2008,26.39916666666667
California,Construction,2009,27.49666666666667
California,Construction,2010,27.926666666666666
California,Construction,2011,27.77416666666667
California,Construction,2012,29.786666666666665
California,Construction,2013,30.959166666666665
California,Construction,2014,31.302499999999995
California,Construction,2015,31.187499999999996
California,Construction,2016,32.17583333333333
California,Construction,2017,33.83666666666667
California,Construction,2018,34.614285714285714
California,Financial Activities,2008,30.863333333333333
California,Financial Activities,2009,30.639166666666668
California,Financial Activities,2010,30.39
California,Financial Activities,2011,30.323333333333334
California,Financial Activities,2012,30.4725
California,Financial Activities,2013,31.455833333333334
California,Financial Activities,2014,33.165
California,Financial Activities,2015,33.60916666666667
California,Financial Activities,2016,34.79666666666667
California,Financial Activities,2017,36.425000000000004
California,Financial Activities,2018,37.882857142857134
California,Information,2008,34.7725
California,Information,2009,33.759166666666665
California,Information,2010,36.285833333333336
California,Information,2011,40.270833333333336
California,Information,2012,41.52916666666666
California,Information,2013,40.25416666666666
California,Information,2014,40.82
California,Information,2015,41.67583333333334
California,Information,2016,40.910000000000004
California,Information,2017,43.08583333333334
California,Information,2018,45.207142857142856
California,Leisure and Hospitality,2008,14.178333333333335
California,Leisure and Hospitality,2009,14.338333333333331
California,Leisure and Hospitality,2010,14.675833333333335
California,Leisure and Hospitality,2011,14.784166666666666
California,Leisure and Hospitality,2012,14.667499999999997
California,Leisure and Hospitality,2013,14.902499999999998
California,Leisure and Hospitality,2014,15.460833333333332
California,Leisure and Hospitality,2015,16.16
California,Leisure and Hospitality,2016,17.055833333333336
California,Leisure and Hospitality,2017,17.712500000000002
California,Leisure and Hospitality,2018,18.154285714285713
California,Manufacturing,2008,25.287499999999998
California,Manufacturing,2009,26.835000000000004
California,Manufacturing,2010,26.997500000000002
California,Manufacturing,2011,27.0975
California,Manufacturing,2012,27.455000000000002
California,Manufacturing,2013,28.03583333333333
California,Manufacturing,2014,28.49666666666666
California,Manufacturing,2015,28.654166666666665
California,Manufacturing,2016,29.381666666666664
California,Manufacturing,2017,30.90666666666667
California,Manufacturing,2018,31.372857142857146
California,Other Services,2008,19.345
California,Other Services,2009,20.953333333333333
California,Other Services,2010,20.455833333333334
California,Other Services,2011,21.028333333333332
California,Other Services,2012,21.199166666666663
California,Other Services,2013,21.836666666666662
California,Other Services,2014,22.603333333333328
California,Other Services,2015,23.370833333333334
California,Other Services,2016,23.536666666666665
California,Other Services,2017,25.6075
California,Other Services,2018,26.288571428571426
California,Professional and Business Services,2008,30.349999999999998
California,Professional and Business Services,2009,31.57166666666667
California,Professional and Business Services,2010,32.45499999999999
California,Professional and Business Services,2011,34.19916666666667
California,Professional and Business Services,2012,33.96083333333333
California,Professional and Business Services,2013,34.81916666666667
California,Professional and Business Services,2014,34.87083333333333
California,Professional and Business Services,2015,35.69166666666667
California,Professional and Business Services,2016,37.012499999999996
California,Professional and Business Services,2017,38.189166666666665
California,Professional and Business Services,2018,39.064285714285724
California,Trade Transportation and Utilities,2008,20.390833333333333
California,Trade Transportation and Utilities,2009,21.154999999999998
California,Trade Transportation and Utilities,2010,23.655833333333334
California,Trade Transportation and Utilities,2011,23.075833333333335
California,Trade Transportation and Utilities,2012,21.895
California,Trade Transportation and Utilities,2013,21.724166666666665
California,Trade Transportation and Utilities,2014,21.675833333333333
California,Trade Transportation and Utilities,2015,22.46916666666667
California,Trade Transportation and Utilities,2016,23.300833333333333
California,Trade Transportation and Utilities,2017,23.740833333333338
California,Trade Transportation and Utilities,2018,23.55285714285714
Colorado,Construction,2008,24.474999999999998
Colorado,Construction,2009,24.104999999999993
Colorado,Construction,2010,23.715833333333332
Colorado,Construction,2011,23.879166666666666
Colorado,Construction,2012,23.425833333333333
Colorado,Construction,2013,25.395
Colorado,Construction,2014,27.496666666666666
Colorado,Construction,2015,27.976666666666663
Colorado,Construction,2016,27.37166666666667
Colorado,Construction,2017,27.132499999999997
Colorado,Construction,2018,28.548571428571424
Colorado,Financial Activities,2008,22.515833333333333
Colorado,Financial Activities,2009,21.980833333333333
Colorado,Financial Activities,2010,21.829166666666666
Colorado,Financial Activities,2011,23.665000000000003
Colorado,Financial Activities,2012,26.246666666666666
Colorado,Financial Activities,2013,28.980833333333333
Colorado,Financial Activities,2014,30.945833333333336
Colorado,Financial Activities,2015,31.286666666666665
Colorado,Financial Activities,2016,31.000833333333333
Colorado,Financial Activities,2017,31.63
Colorado,Financial Activities,2018,33.40714285714285
Colorado,Leisure and Hospitality,2008,13.673333333333337
Colorado,Leisure and Hospitality,2009,14.211666666666666
Colorado,Leisure and Hospitality,2010,14.078333333333333
Colorado,Leisure and Hospitality,2011,14.30083333333333
Colorado,Leisure and Hospitality,2012,14.805
Colorado,Leisure and Hospitality,2013,15.250833333333333
Colorado,Leisure and Hospitality,2014,15.195000000000002
Colorado,Leisure and Hospitality,2015,15.656666666666666
Colorado,Leisure and Hospitality,2016,16.4425
Colorado,Leisure and Hospitality,2017,17.602500000000003
Colorado,Leisure and Hospitality,2018,18.381428571428568
Colorado,Manufacturing,2008,27.470833333333335
Colorado,Manufacturing,2009,27.42583333333333
